Moved files:
FINAL_Analysis1_Responder362_vs_AllNonResponders512.docx -> 00_final_reports/
FINAL_Analysis1_Responder362_vs_AllNonResponders512.html -> 00_final_reports/
FINAL_Analysis2_Responder362_vs_NonResponders453.docx -> 00_final_reports/
FINAL_Analysis2_Responder362_vs_NonResponders453.html -> 00_final_reports/
FINAL_Reports_Index.html -> 00_final_reports/
FINAL_Interpretation_Table_Pack_362v453.html -> 01_interpretation_pack/
INTERPRETATION_PACK_03_Barrier_Significant_Items.csv -> 01_interpretation_pack/
INTERPRETATION_PACK_01_GBV_Caseload_per_Week.csv -> 01_interpretation_pack/
INTERPRETATION_PACK_04_State_Key_Differences.csv -> 01_interpretation_pack/
INTERPRETATION_PACK_02_Training_Significant_Items.csv -> 01_interpretation_pack/
rerun2026_analysis1_nonresponder_missing_data_summary.csv -> 02_results_362v512/
rerun2026_analysis1_summary.txt -> 02_results_362v512/
rerun2026_analysis1_nonresponder_missing_data_table.csv -> 02_results_362v512/
rerun2026_analysis2_all512_state_completion_table.csv -> 02_results_362v512/
rerun2026_analysis2_all512_age_numeric_test.csv -> 02_results_362v512/
rerun2026_analysis2_all512_report.html -> 02_results_362v512/
rerun2026_analysis2_all512_state_no_matched_cases.csv -> 02_results_362v512/
rerun2026_analysis2_all512_state_top_completers.csv -> 02_results_362v512/
rerun2026_analysis2_all512_knowledge_numeric_tests.csv -> 02_results_362v512/
rerun2026_analysis2_all512_barrier_checkbox_tests.csv -> 02_results_362v512/
rerun2026_analysis2_all512_summary.txt -> 02_results_362v512/
rerun2026_analysis2_all512_confidence_item_tests.csv -> 02_results_362v512/
rerun2026_analysis2_all512_categorical_tests.csv -> 02_results_362v512/
rerun2026_analysis2_all512_confidence_overall_test.csv -> 02_results_362v512/
rerun2026_analysis2_all512_training_checkbox_tests.csv -> 02_results_362v512/
rerun2026_analysis2_all512_state_counts_summary.csv -> 02_results_362v512/
rerun2026_analysis2_all512_categorical_levels.csv -> 02_results_362v512/
rerun2026_analysis2_all512_state_rate_extremes_n_ge_10.csv -> 02_results_362v512/
rerun2026_analysis2_oldlogic453_state_top_completers_labeled.csv -> 03_results_362v453/
rerun2026_analysis2_oldlogic453_categorical_tests.csv -> 03_results_362v453/
rerun2026_analysis2_oldlogic453_summary.txt -> 03_results_362v453/
rerun2026_analysis2_oldlogic453_training_checkbox_tests.csv -> 03_results_362v453/
rerun2026_analysis2_oldlogic453_confidence_overall_test.csv -> 03_results_362v453/
rerun2026_analysis2_oldlogic453_categorical_levels_labeled.csv -> 03_results_362v453/
rerun2026_analysis2_oldlogic453_state_rate_extremes_n_ge_10_labeled.csv -> 03_results_362v453/
rerun2026_analysis2_oldlogic453_knowledge_numeric_tests.csv -> 03_results_362v453/
rerun2026_analysis2_oldlogic453_age_numeric_test.csv -> 03_results_362v453/
rerun2026_analysis2_oldlogic453_barrier_checkbox_tests.csv -> 03_results_362v453/
rerun2026_analysis2_oldlogic453_state_counts_summary.csv -> 03_results_362v453/
rerun2026_analysis2_oldlogic453_state_completion_table_labeled.csv -> 03_results_362v453/
rerun2026_analysis2_oldlogic453_state_no_matched_cases_labeled.csv -> 03_results_362v453/
rerun2026_analysis2_oldlogic453_confidence_item_tests.csv -> 03_results_362v453/
colleague_362_matched.csv -> 04_datasets_mappings/
pre_from_sav.csv -> 04_datasets_mappings/
post_from_sav.csv -> 04_datasets_mappings/
rerun2026_nonresponder_all_standardized.csv -> 04_datasets_mappings/
rerun2026_nonresponder_oldlogic453_standardized.csv -> 04_datasets_mappings/
rerun2026_responder_362_standardized.csv -> 04_datasets_mappings/
rerun2026_set_construction_summary.csv -> 04_datasets_mappings/
state_code_mapping_full_from_sav.csv -> 04_datasets_mappings/
locked_variable_codebook_2026-02-16.csv -> 04_datasets_mappings/
mapping_lock_decisions_2026-02-16.txt -> 04_datasets_mappings/
variable_mapping_review_2026-02-16.txt -> 04_datasets_mappings/
build_final_html_reports.py -> 05_scripts/
build_interpretation_pack_362v453.py -> 05_scripts/
rerun_analysis2_oldlogic453_2026_02_16.R -> 05_scripts/
rerun_analysis_all512_full_2026_02_16.R -> 05_scripts/
rerun_prepare_datasets_2026_02_16.py -> 05_scripts/
rerun_run_stats_and_docs_2026_02_16.R -> 05_scripts/
cleanup_removed_files_2026-02-16.txt -> 99_admin/
